0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
16,Healthcare Equipment & Supplies,95,0,0,95,13,0,0,13,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,93,0,0,93,13,0,0,13
17,Healthcare Services,14520,0,0,14520,2038,0,0,2038,-144,0,0,-144,-20,0,0,-20,-71,0,0,-71,-10,0,0,-10,14472,0,0,14472,2033,0,0,2033
18,"Hotels, Restaurants & Tourism",13122,4,0,13126,1842,0,0,1842,172,0,0,172,24,0,0,24,-77,0,0,-77,-11,0,0,-11,12965,4,0,12969,1821,0,0,1821
19,Household & Personal Products,101910,0,0,101910,14303,0,0,14303,-252,0,0,-252,-35,0,0,-35,-399,0,0,-399,-56,0,0,-56,101120,0,0,101120,14203,0,0,14203
20,Insurance,20978,0,0,20978,2944,0,0,2944,150,0,0,150,21,0,0,21,128,0,0,128,18,0,0,18,21471,0,0,21471,3016,0,0,3016
21,Media,26464,232,0,26696,3714,33,0,3747,838,-1,0,837,118,0,0,118,-167,0,0,-167,-23,0,0,-23,28602,240,0,28842,4017,34,0,4051
22,Metals & Mining,47182,411,0,47593,6622,58,0,6680,-497,0,0,-497,-70,0,0,-70,77,0,0,77,11,0,0,11,50763,411,0,51174,7130,58,0,7188
23,Oil & Gas,230063,2866,0,232929,32289,402,0,32691,-176,238,0,62,-25,33,0,8,224,-9,0,215,31,-1,0,30,233284,2855,0,236139,32767,401,0,33168
24,Pharmaceuticals & Biotechnology,114010,950,0,114960,16001,133,0,16134,680,0,0,680,95,0,0,95,-209,0,0,-209,-29,0,0,-29,116800,950,0,117750,16406,133,0,16539
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,21488,590,0,22078,3016,83,0,3099,75,0,0,75,11,0,0,11,15,0,0,15,2,0,0,2,22285,590,0,22875,3130,83,0,3213
27,Retailing,26335,300,0,26635,3696,42,0,3738,90,0,0,90,13,0,0,13,-199,0,0,-199,-28,0,0,-28,26577,300,0,26877,3733,42,0,3775
28,Software & Services,351650,0,0,351650,49353,0,0,49353,671,0,0,671,94,0,0,94,13,0,0,13,2,0,0,2,348777,0,0,348777,48989,0,0,48989
29,Telecom Services,53202,1823,0,55025,7467,256,0,7723,36,0,0,36,5,0,0,5,235,0,0,235,33,0,0,33,53795,1823,0,55618,7556,256,0,7812
30,Telecommunications Equipment,183,0,0,183,26,0,0,26,8,0,0,8,1,0,0,1,1,0,0,1,0,0,0,0,183,0,0,183,26,0,0,26
31,"Textiles, Apparels & Accessories",39573,0,0,39573,5554,0,0,5554,-12,0,0,-12,-2,0,0,-2,-108,0,0,-108,-15,0,0,-15,39766,0,0,39766,5586,0,0,5586
32,Transportation,35002,699,0,35701,4913,98,0,5011,85,0,0,85,12,0,0,12,135,0,0,135,19,0,0,19,35481,699,0,36180,4984,98,0,5082
32 a,Airlines,6870,699,0,7569,964,98,0,1062,23,0,0,23,3,0,0,3,-53,0,0,-53,-7,0,0,-7,6679,699,0,7378,938,98,0,1036
32 b,Logistics,1685,0,0,1685,236,0,0,236,-1,0,0,-1,0,0,0,0,-27,0,0,-27,-4,0,0,-4,1693,0,0,1693,238,0,0,238
32 c,Marine Port & Services,16435,0,0,16435,2307,0,0,2307,-20,0,0,-20,-3,0,0,-3,174,0,0,174,24,0,0,24,15580,0,0,15580,2188,0,0,2188
32 d,Roads & Highways,2350,0,0,2350,330,0,0,330,30,0,0,30,4,0,0,4,-5,0,0,-5,-1,0,0,-1,2415,0,0,2415,339,0,0,339
32 e,Shipping,972,0,0,972,136,0,0,136,-1,0,0,-1,0,0,0,0,-3,0,0,-3,0,0,0,0,994,0,0,994,140,0,0,140
32 f,Surface Transportation,43,0,0,43,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,6,0,0,6
32 g,Transport Related Services,6648,0,0,6648,933,0,0,933,54,0,0,54,8,0,0,8,49,0,0,49,7,0,0,7,8076,0,0,8076,1134,0,0,1134
33,Utilities3,78259,4683,0,82942,10983,657,0,11640,316,-85,0,231,44,-12,0,32,555,-97,0,458,78,-14,0,64,80539,4569,0,85108,11312,642,0,11954
34,Sovereign,0,204000,0,204000,0,28631,0,28631,0,-2293,0,-2293,0,-322,0,-322,0,-6001,0,-6001,0,-843,0,-843,0,197804,0,197804,0,27783,0,27783
35,Others4,33295,132826,0,166121,4673,18642,0,23315,-861,391,0,-470,-121,55,0,-66,6157,-231,865,6791,865,-32,122,955,40753,131698,902,173353,5724,18498,127,24349
,Grand Total,2643995,406957,2041,3052993,371079,57116,287,428482,5322,-248,10,5084,747,-35,1,713,11897,-5790,861,6968,1671,-813,121,979,2686667,400012,2923,3089602,377366,56185,411,433962
